single-,contestant,Days,InRCW,InICW,TRCW,TICW,Sex,Age,Idol,Season,Finish,Won
S30,Nina Poersch,8,0,0,0,1,1,51,0,30,16,0
S30,Vince Sly,6,0,0,0,1,0,32,0,30,17,0
S30,So Kim,3,0,0,0,0,1,31,0,30,18,0
S4,Vecepia Towery,39,0,2,0,2,1,35,0,4,1,1
S4,Neleh Dennis,39,0,1,3,4,1,21,0,4,2,0
S4,Kathy Vavrick-O'Brien,38,2,2,4,4,1,46,0,4,3,0
S4,Paschal English*,37,1,0,3,4,0,56,0,4,4,0
S4,Sean Rector,36,1,0,0,1,0,30,0,4,5,0
S4,Robert DeCanio,33,0,1,1,3,0,38,0,4,6,0
S4,Tammy Leitner,30,0,2,2,4,1,29,0,4,7,0
S4,Zoe Zanadakis,27,0,0,2,4,1,35,0,4,8,0
S4,John Carroll,24,0,0,2,2,0,36,0,4,9,0
S4,Boston Rob Mariano,21,0,0,0,1,0,25,0,4,10,0
S4,Gina Crews,18,0,0,2,1,1,28,0,4,11,0
S4,Gabriel Cade,15,0,0,2,3,0,23,0,4,12,0
S4,Sarah Jones,12,0,0,0,0,1,24,0,4,13,0
S4,Hunter Ellis,9,0,0,0,0,0,33,0,4,14,0
S4,Patricia Jackson,6,0,0,0,0,1,49,0,4,15,0
S4,Peter Harkey,3,0,0,0,0,0,45,0,4,16,0
S5,Brian Heidik,39,2,3,1,5,0,34,0,5,1,1
S5,Clay Jordan,39,0,1,1,5,0,46,0,5,2,0
S5,Jan Gentry,38,0,0,1,5,1,53,0,5,3,0
S5,Helen Glover,37,1,1,1,4,1,47,0,5,4,0
S5,Ted Rogers,36,1,1,1,5,0,37,0,5,5,0
S5,Jake Billingsley,33,0,0,3,3,0,60,0,5,6,0
S5,Penny Ramsey,30,0,0,3,3,1,27,0,5,7,0
S5,Ken Stafford,27,0,0,3,3,0,29,0,5,8,0
S5,Erin Collins,24,0,0,3,3,1,26,0,5,9,0
S5,Shii Ann Huang,21,0,0,1,2,1,28,0,5,10,0
S5,Robb Zbacnick,18,0,0,3,3,0,23,0,5,11,0
S5,Stephanie Dill,15,0,0,1,2,1,29,0,5,12,0
S5,Ghandia Johnson,12,0,0,1,1,1,33,0,5,13,0
S5,Jed Hildebrand,9,0,0,1,2,0,25,0,5,14,0
S5,Tanya Vance,6,0,0,0,0,1,27,0,5,15,0
S5,John Raymond,3,0,0,0,0,0,40,0,5,16,0
S6,Jenna Morasca,39,0,4,2,3,1,21,0,6,1,1
S6,Matt von Ertfelda,39,2,2,1,3,0,33,0,6,2,0
S6,Rob Cesternino,38,0,1,1,3,0,24,0,6,3,0
S6,Butch Lockley,37,0,0,2,3,0,50,0,6,4,0
S6,Heidi Strobel,36,0,0,3,3,1,24,0,6,5,0
S6,Christy Smith,33,0,0,3,3,1,24,0,6,6,0
S6,Alex Bell,30,1,0,2,3,0,32,0,6,7,0
S6,Deena Bennett,27,0,1,3,3,1,35,0,6,8,0
S6,Dave Johnson,24,1,0,3,3,0,23,0,6,9,0
S6,Roger Sexton,21,0,0,2,3,0,56,0,6,10,0
S6,Shawna Mitchell,18,0,0,2,3,1,23,0,6,11,0
S6,Jeanne Hebert,15,0,0,2,2,1,40,0,6,12,0
S6,JoAnna Ward,12,0,0,2,2,1,31,0,6,13,0
S6,Daniel Lue,9,0,0,0,1,0,26,0,6,14,0
S6,Janet Koth,6,0,0,1,1,1,46,0,6,15,0
S6,Ryan Aiken,3,0,0,0,0,0,23,0,6,16,0
S7,Sandra Diaz-Twine,39,0,0,3,3,1,28,0,7,1,1
S7,Lillian Morris,30,0,1,2,1,1,51,0,7,2,0
S7,Jonny Fairplay,38,1,0,3,3,0,29,0,7,3,0
S7,Darrah Johnson,37,0,3,2,3,1,22,0,7,4,0
S7,Burton Roberts,30,1,2,4,4,0,31,0,7,5,0
S7,Christa Hastie,33,0,0,3,3,1,24,0,7,6,0
S7,Tijuana Bradley,30,0,0,1,4,1,26,0,7,7,0
S7,Rupert Boneham,27,1,1,5,4,0,39,0,7,8,0
S7,Ryan Opray,24,0,0,1,4,0,30,0,7,9,0
S7,Andrew Savage,21,0,0,1,3,0,39,0,7,10,0
S7,Osten Taylor*,19,0,0,1,3,0,27,0,7,11,0
S7,Shawn Cohen,19,0,0,3,3,0,28,0,7,12,0
S7,Trish Dunn,19,0,0,4,3,1,42,0,7,13,0
S7,Michelle Tesauro,16,0,0,1,4,1,22,0,7,14,0
S7,Ryan Shoulders,7,0,0,0,1,0,23,0,7,15,0
S7,Nicole Delma,4,0,0,0,1,1,24,0,7,16,0
S8,Amber Brkich,39,0,1,3,5,1,25,0,8,1,1
S8,Boston Rob Mariano,39,1,4,4,6,0,27,0,8,2,0
S8,Jenna Lewis,38,0,0,2,5,1,26,0,8,3,0
S8,Rupert Boneham,37,2,0,2,5,0,39,0,8,4,0
S8,Big Tom Buchanan,36,0,1,1,5,0,48,0,8,5,0
S8,Shii Ann Huang,33,0,1,2,0,1,29,0,8,6,0
S8,Alicia Callaway,30,0,0,4,4,1,35,0,8,7,0
S8,Kathy Vavrick-O'Brien,28,0,1,2,0,1,48,0,8,8,0
S8,Lex Van den Berghe,27,0,0,2,0,0,40,0,8,9,0
S8,Jerri Manthey,24,0,0,2,1,1,33,0,8,10,0
S8,Ethan Zohn,21,0,0,2,1,0,29,0,8,11,0
S8,Colby Donaldson,19,0,0,2,0,0,29,0,8,12,0
S8,Sue Hawk*,17,0,0,0,3,1,42,0,8,13,0
S8,Richard Hatch,15,0,0,1,0,0,42,0,8,14,0
S8,Rob Cesternino,12,0,0,2,2,0,25,0,8,15,0
S8,Jenna Morasca*,9,0,0,0,0,1,22,0,8,16,0
S8,Rudy Boesch,6,0,0,1,0,0,75,0,8,17,0
S8,Tina Wesson,3,0,0,0,0,1,42,0,8,18,0
S9,Chris Daugherty,39,0,3,5,3,0,33,0,9,1,1
S9,Twila Tanner,39,0,1,5,4,1,41,0,9,2,0
S9,Scout Cloud Lee,38,0,0,2,3,1,59,0,9,3,0
S9,Eliza Orlins,37,2,1,4,3,1,21,0,9,4,0
S9,Julie Berry,36,1,0,5,4,1,23,0,9,5,0
S9,Ami Cusack,33,0,2,4,3,1,31,0,9,6,0
S9,Leann Slaby,30,1,0,3,3,1,34,0,9,7,0
S9,Chad Crittenden,27,0,0,5,3,0,34,0,9,8,0
S9,Lea Sarge Masters,24,0,1,4,3,0,40,0,9,9,0
S9,Rory Freeman,21,0,0,2,2,0,35,0,9,10,0
S9,John Kenney,18,0,1,3,3,0,22,0,9,11,0
S9,Lisa Keiffer,15,0,0,2,2,1,44,0,9,12,0
S9,Bubba Sampson,12,0,0,1,1,0,33,0,9,13,0
S9,Brady Finta,10,0,0,1,1,0,33,0,9,14,0
S9,Mia Galeotalanza,7,0,0,1,1,1,29,0,9,15,0
S9,John Palyok,7,0,0,1,1,0,31,0,9,16,0
S9,Dolly Neely,6,0,0,1,1,1,25,0,9,17,0
S9,Brook Geraghty,3,0,0,0,0,0,27,0,9,18,0
S31,Ciera Eastin,26,0,0,5,2,1,26,0,31,10,0
S31,Kass McQuillen,19,0,0,1,3,1,43,0,31,13,0
S31,Kimmi Kappenberg,36,0,0,1,4,1,42,0,31,6,0
S31,Monica Padilla,13,0,0,0,2,1,30,0,31,16,0
S31,Tasha Fox,39,0,0,2,4,1,38,0,31,2,0
S31,Andrew Savage,21,0.5,0,1,3,0,51,0,31,12,0
S31,Jeremy Collins,39,0,1,0,4,0,37,2,31,1,1
S31,Joe Anglim,32,0,4,4,4,0,26,0,31,8,0
S31,Keith Nale,37,1,1,2,4,0,54,0,31,5,0
S31,Stephen Fishbach,29,1,0,1,4,0,36,0,31,9,0
S31,Abi-Maria Gomes,35,0,0,2,1,1,35,0,31,7,0
S31,Kelley Wentworth,38,1,2,2,2,1,28,2,31,4,0
S31,Kelly Wiglesworth,24,0,0,2,1,1,37,0,31,11,0
S31,Peih-Gee Law,9,0,0,0,0,1,37,0,31,18,0
S31,Shirin Oskooi,6,0,0,0,0,1,32,0,31,19,0
S31,Jeff Varner,11,0,0,0,0,0,49,0,31,17,0
S31,Spencer Bledsoe,39,0,3,3,1,0,22,0,31,2,0
S31,Terry Deitz*,13,0.25,0,0,1,0,55,0,31,15,0
S31,Vytas Baskauskas,3,0,0,0,0,0,35,0,31,20,0
S31,Woo Hwang,16,0,0,1,1,0,31,0,31,14,0
S32,Alecia Holden,11,0,0,0,0,1,23,0,32,14,0
S32,Cydney Gillon,37,0,1,1,2,1,22,0,32,4,0
S32,Darnell Hamilton,3,0,0,0,0,0,27,0,32,18,0
S32,Jennifer Lanzetti,6,0,0,0,0,1,37,0,32,17,0
S32,Kyle Jason,32,0,1,2,2,0,30,1,32,6,0
S32,Scot Pollard,27,0,0,3,0,0,40,0,32,8,0
S32,Aubry Bracco,39,1,0,2,2,1,29,0,32,2,0
S32,Debbie Wanner,24,0,0,2,4,1,49,0,32,9,0
S32,Joe Del Campo*,34,1,0,2,1,0,71,0,32,5,0
S32,Liz Markham,8,0,0,0,1,1,26,0,32,16,0
S32,Neal Gottlieb*,19,0,0,0,4,0,38,1,32,11,0
S32,Peter Baggenstos,16,0,0,2,2,0,34,0,32,12,0
S32,Anna Khait,14,0,0,0,1,1,26,0,32,13,0
S32,Caleb Reynolds*,9,0,0,0,2,0,27,0,32,15,0
S32,Julia Sokolowski,29,0.5,1,3,1,1,18,0,32,7,0
S32,Michele Fitzgerald,39,1.5,2,2,3,1,24,0,32,1,1
S32,Nick Maiorano,22,0,1,1,4,0,30,0,32,10,0
S32,Tai Trang,39,0.5,1,4,2,0,51,1,32,3,0
S33,Adam Klein,39,0,1,1,3,0,25,2,33,1,1
S33,Ken McNickle,39,0,4,2,2,0,33,0,33,2,0
S33,David Wright,38,0,2,4,1,0,42,2,33,4,0
S33,Jay Starrett,36,1,2,0,5,0,26,1,33,6,0
S33,Hannah Shapiro,39,0,0,1,5,1,24,0,33,2,0
S33,Will Wahl,34,0,1,0,3,0,18,0,33,8,0
S33,Michaela Bradshaw,20,0,0,0,5,1,25,0,33,14,0
S33,Zeke Smith,33,0,0,4,3,0,28,0,33,9,0
S33,Sunday Burquest,35,0,0,4,2,1,45,0,33,7,0
S33,Chris Hammons,28,0,0,4,1,0,38,0,33,11,0
S33,Bret LaBelle,37,0,0,4,3,0,42,0,33,5,0
S33,Michelle Schubert,23,0,0,2,3,1,28,0,33,13,0
S33,Jessica Lewis,30,0,0,1,2,1,37,1,33,10,0
S33,Figgy Figueroa,18,0,0,0,2,1,23,0,33,15,0
S33,Lucy Huang,12,0,0,1,1,1,42,0,33,17,0
S33,Paul Wachter,10,0,0,0,1,0,52,0,33,18,0
S33,Taylor Stocker,25,0,0,1,4,0,24,0,33,12,0
S33,CeCe Taylor,15,0,0,1,1,1,39,0,33,16,0
S33,Mari Takahashi,7,0,0,0,1,1,31,0,33,19,0
S33,Rachel Ako,4,0,0,0,0,1,37,0,33,20,0
S34,Brad Culpepper,39,0.25,5,3,5,0,47,0,34,2,0
S34,Sarah Lacina,39,0,0,3,3,1,31,0,34,1,1
S34,Andrea Boehlke,33,0,2,6,3,0,27,0,34,8,0
S34,Troyzan Robertson,39,0,1,1,2,1,54,1,34,3,0
S34,Cirie Fields,36,0,0,1,4,1,45,0,34,6,0
S34,Aubry Bracco,37,0,1,3,3,0,30,0,34,5,0
S34,Debbie Wanner,26,0,0,3,3,1,50,0,34,11,0
S34,Tai Trang,38,0.25,1,2,3,1,52,3,34,4,0
S34,Ozzy Lusth,24,0,0,3,3,1,34,0,34,12,0
S34,Malcolm Freberg,11,0.5,0,0,1,0,29,0,34,17,0
S34,Hali Ford,21,0,0,0,3,1,26,0,34,13,0
S34,Zeke Smith,29,0,0,4,3,0,28,0,34,10,0
S34,Sierra Thomas,32,0,0,1,5,1,29,1,34,9,0
S34,Caleb Reynolds,9,0,0,0,0,0,28,0,34,18,0
S34,Jeff Varner,18,0,0,1,1,1,50,0,34,14,0
S34,Michaela Bradshaw,35,0,0,0,3,0,25,0,34,7,0
S34,Sandra Diaz-Twine,16,0,0,0,1,0,41,0,34,15,0
S34,Tony Vlachos,6,0,0,0,0,0,42,0,34,19,0
S34,J.T. Thomas,13,0.5,0,0,3,0,31,1,34,16,0
S34,Ciera Eastin,3,0,0,0,0,1,27,0,34,20,0
S35,Ben Driebergen,39,0,0,2,4,0,34,3,35,1,1
S35,Chrissy Hofbeck,39,1,4,4,1,1,46,0,35,2,0
S35,Devon Pinto,38,0,0,4,0,0,24,0,35,4,0
S35,Lauren Rimmer,33,1,1,1,2,1,35,0,35,7,0
S35,Ryan Ulrich,39,0,0,2,0,0,23,2,35,3,0
S35,Ashley Nolan,36,0,2,2,1,1,26,0,35,6,0
S35,Desi Williams,21,0,0,2,2,1,27,0,35,11,0
S35,Cole Medders,24,0,1,4,5,0,24,0,35,10,0
S35,JP Hilsabeck,27,0,0,3,1,0,28,0,35,9,0
S35,Alan Ball,11,0,0,0,1,0,32,0,35,15,0
S35,Mike Zahalsky,37,0,0,3,4,0,43,1,35,5,0
S35,Ali Elliott,16,0,0,1,0,1,24,0,35,13,0
S35,Joe Mena,30,0,0,4,1,0,34,2,35,8,0
S35,Jessica Johnston,19,0,1,2,5,1,29,0,35,12,0
S35,Patrick Bolton,8,0,0,0,0,0,25,0,35,16,0
S35,Roark Luskin,14,0,0,1,2,1,27,0,35,14,0
S35,Katrina Radke,3,0,0,0,0,1,46,0,35,18,0
S35,Simone Nguyen,6,0,0,0,0,1,25,0,35,17,0
S36,Domenick Abbate,39,0,3,3,4,0,38,1,36,2,0
S36,Wendell Holland,39,0,2,4,6,0,33,1,36,1,1
S36,Laurel Johnson,39,0,1,4,4,1,29,0,36,3,0
S36,Chelsea Townsend,32,0,2,3,3,1,25,0,36,8,0
S36,Sebastian Noel,36,1,0,1,5,0,22,0,36,6,0
S36,Kellyn Bechtold,35,0,1,1,3,1,30,0,36,7,0
S36,Angela Perkins,38,0,1,3,3,1,42,0,36,4,0
S36,Jenna Bowman,29,0,0,1,2,1,23,0,36,10,0
S36,James Lim,17,0,0,2,2,0,24,0,36,15,0
S36,Libby Vincek,25,0,0,4,2,1,24,0,36,12,0
S36,Brendan Shapiro,12,0,0,1,1,0,40,0,36,17,0
S36,Michael Yerger,29,0,0,2,1,0,18,2,36,9,0
S36,Bradley Kleihege,19,0,0,1,3,0,26,0,36,14,0
S36,Donathan Hurley,37,0,0,4,2,0,25,1,36,5,0
S36,Desiree Afuye,27,0,0,0,3,1,21,0,36,11,0
S36,Stephanie Johnson,14,0,0,0,1,1,34,0,36,16,0
S36,Chris Noble,22,0,0,2,6,0,27,1,36,13,0
S36,Morgan Ricke,9,0,0,0,2,1,29,0,36,18,0
S36,Jacob Derwin,6,0,0,0,0,0,22,1,36,19,0
S36,Stephanie Gonzalez,3,0,0,0,0,1,26,0,36,20,0
S37,Nick Wilson,39,0,3,2,1,0,27,1,37,1,1
S37,Mike White,39,0,1,3,2,0,47,0,37,2,0
S37,Kara Kay,38,0,1,3,3,1,30,0,37,4,0
S37,Davie Rickenbacker,36,1,0,3,2,0,30,2,37,6,0
S37,Christian Hubicki,35,0,1,4,3,0,32,1,37,7,0
S37,Gabby Pascuzzi,32,0,0,3,2,1,25,0,37,8,0
S37,John Hennigan,22,0,0,2,4,0,38,0,37,12,0
S37,Dan Rengering,25,0,1,2,4,0,27,2,37,11,0
S37,Alec Merlino,28,0,1,4,3,0,24,0,37,10,0
S37,Angelina Keeley,39,0,0,1,2,1,28,1,37,3,0
S37,Alison Raybould,37,0,1,2,4,1,28,0,37,5,0
S37,Carl Boudreaux,30,0,0,2,2,0,41,0,37,9,0
S37,Natalia Azoqa,11,0,0,0,2,1,25,0,37,16,0
S37,Lyrsa Torres,17,0,0,1,1,1,36,0,37,14,0
S37,Natalie Cole,15,0,0,0,1,1,57,0,37,15,0
S37,Elizabeth Olson,20,0,0,1,2,1,31,0,37,13,0
S37,Jeremy Crawford,9,0,0,0,2,0,39,0,37,18,0
S37,Bi Nguyen*,10,0,0,0,1,1,28,0,37,17,0
S37,Jessica Peet,6,0,0,0,0,1,19,0,37,19,0
S37,Pat Cusack*,3,0,0,0,0,0,41,0,37,20,0
S38,Gavin Whitson,39,1,2,1,3,0,23,0,38,2,0
S38,Chris Underwood,39,1,1,1,0,0,25,1,38,1,1
S38,Rick Devens,38,1,4,3,0,0,34,4,38,4,0
S38,Julie Rosenberg,39,0,2,2,3,1,46,0,38,3,0
S38,Ron Clark,35,1,0,2,5,0,46,0,38,8,0
S38,Aurora McCreary,35,0,2,2,6,1,32,0,38,7,0
S38,Victoria Baamonde,36,0,0,2,2,1,23,0,38,6,0
S38,Julia Carter,35,0,0,2,6,1,25,0,38,12,0
S38,Wardog' DaSilva,35,0,0,3,0,0,38,0,38,9,0
S38,Lauren O'Connell,37,0,0,3,0,1,21,1,38,5,0
S38,Eric Hafemann,35,0,0,1,3,0,35,0,38,13,0
S38,Kelley Wentworth,35,0,0,2,0,1,31,1,38,10,0
S38,Joe Anglim,35,0,0,2,6,0,29,0,38,14,0
S38,David Wright,35,0,0,1,0,0,44,0,38,11,0
S38,Keith Sowell,17,0,0,0,0,0,19,0,38,18,0
S38,Wendy Diaz,14,0,0,1,0,1,25,0,38,17,0
S38,Aubry Bracco,35,0,0,0,3,1,32,1,38,15,0
S38,Reem Daly,35,0,0,0,0,1,46,0,38,16,0
S39,Tommy Sheehan,39,1,0,4,5,0,26,0,39,1,1
S39,Dean Kowalski,39,0,2,1,2,0,28,1,39,2,0
S39,Noura Salman,39,0,3,1,3,1,36,0,39,3,0
S39,Lauren Beck,38,0,1,2,5,1,29,1,39,4,0
S39,Missy Byrd,27,0,1,2,3,1,24,0,39,10,0
S39,Aaron Meredith,27,0,2,2,3,0,36,0,39,11,0
S39,Elizabeth Beisel,30,0,0,3,3,1,26,0,39,9,0
S39,Jason Linden,16,0,0,2,4,0,32,0,39,15,0
S39,Elaine Stott,35,0,1,2,3,1,41,1,39,7,0
S39,Janet Carbin,37,0,0,1,4,1,59,2,39,5,0
S39,Dan Spilo*,36,0,0,3,5,0,48,0,39,6,0
S39,Jack Nichting,19,0,0,0,4,1,23,0,39,14,0
S39,Chelsea Walker,11,0,0,0,1,0,27,1,39,17,0
S39,Kellee Kim,22,0,0,0,4,1,29,3,39,13,0
S39,Tom Laidlaw,14,0,0,0,1,0,60,0,39,16,0
S39,Vince Moua,8,0,0,0,1,0,27,1,39,18,0
S39,Jamal Shipman,24,0,0,0,4,0,33,1,39,12,0
S39,Karishma Patel,32,0,0,0,2,1,37,1,39,8,0
S39,Molly Byman,6,0,0,0,1,1,28,0,39,19,0
S39,Ronnie Bardah,3,0,0,0,0,0,36,0,39,20,0
S40,Tony Vlachos,39,0,4,0,3,0,45,1,40,1,1
S40,Michele Fitzgerald,39,0,2,1,3,1,29,1,40,3,0
S40,Denise Stapley,36,0,2,0,2,1,48,2,40,6,0
S40,Natalie Anderson,39,1,1,0,0,1,33,1,40,2,0
S40,Sandra Diaz-Twine,16,0,0,0,2,1,44,1,40,15,0
S40,Ben Driebergen,37,0,0,3,4,1,36,1,40,5,0
S40,Sarah Lacina,38,0,0,2,5,0,34,0,40,4,0
S40,Yul Kwon,35,0,0,0,4,0,44,0,40,14,0
S40,Nick Wilson,35,0,1,0,4,0,28,0,40,7,0
S40,Sophie Clarke,35,0,0,3,5,0,29,1,40,10,0
S40,Kim Spradlin,35,0,1,2,3,1,36,1,40,9,0
S40,Jeremy Collins,35,0,1,0,2,1,41,0,40,8,0
S40,Ethan Zohn,35,0,0,0,1,0,45,0,40,18,0
S40,Tyson Apostol,35,1,0,0,3,0,39,0,40,11,0
S40,Wendell Holland,35,0,0,0,4,0,35,0,40,13,0
S40,Parvati Shallow,35,0,0,0,3,1,36,0,40,16,0
S40,Boston Rob Mariano,35,0,0,0,2,0,43,0,40,17,0
S40,Adam Klein,35,0,0,1,4,0,28,0,40,12,0
S40,Danni Boatwright,35,0,0,0,1,1,43,0,40,19,0
S40,Amber Mariano,35,0,0,0,1,1,40,0,40,20,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Top 3 Finalist
,,,,,,,,,,,,61
,,,,,,,,,,,,51%
,,,,,,,,,,,,59
,,,,,,,,,,,,49%
,,,,,,,,,,,,120
